id,osmid_fake,x,y
0,0,402,0
1,0,403,0
2,0,404,0
3,0,405,0
4,0,406,0
5,0,407,0
6,0,408,0
7,0,414,0
8,0,415,0
9,0,416,0
10,0,417,0
11,0,418,0
12,0,400,1
13,0,401,1
14,0,402,1
15,0,403,1
16,0,404,1
17,0,405,1
18,0,406,1
19,0,407,1
20,0,408,1
21,0,409,1
22,0,410,1
23,0,411,1
24,0,412,1
25,0,413,1
26,0,414,1
27,0,415,1
28,0,416,1
29,0,417,1
30,0,418,1
31,0,419,1
32,0,420,1
33,0,421,1
34,0,422,1
35,0,423,1
36,0,424,1
37,0,425,1
38,0,426,1
39,0,427,1
40,0,428,1
41,0,429,1
42,0,430,1
43,0,431,1
44,0,432,1
45,0,433,1
46,0,400,2
47,0,401,2
48,0,402,2
49,0,403,2
50,0,404,2
51,0,405,2
52,0,406,2
53,0,407,2
54,0,408,2
55,0,409,2
56,0,410,2
57,0,411,2
58,0,412,2
59,0,413,2
60,0,414,2
61,0,415,2
62,0,416,2
63,0,417,2
64,0,418,2
65,0,419,2
66,0,420,2
67,0,421,2
68,0,422,2
69,0,423,2
70,0,424,2
71,0,425,2
72,0,426,2
73,0,427,2
74,0,428,2
75,0,429,2
76,0,430,2
77,0,431,2
78,0,432,2
79,0,433,2
80,0,401,3
81,0,402,3
82,0,403,3
83,0,404,3
84,0,405,3
85,0,406,3
86,0,407,3
87,0,408,3
88,0,409,3
89,0,410,3
90,0,411,3
91,0,412,3
92,0,413,3
93,0,414,3
94,0,415,3
95,0,416,3
96,0,417,3
97,0,418,3
98,0,419,3
99,0,420,3
100,0,421,3
101,0,422,3
102,0,423,3
103,0,424,3
104,0,425,3
105,0,426,3
106,0,427,3
107,0,428,3
108,0,429,3
109,0,430,3
110,0,431,3
111,0,432,3
112,0,433,3
113,0,401,4
114,0,402,4
115,0,403,4
116,0,404,4
117,0,405,4
118,0,406,4
119,0,407,4
120,0,408,4
121,0,409,4
122,0,410,4
123,0,411,4
124,0,412,4
125,0,413,4
126,0,414,4
127,0,415,4
128,0,416,4
129,0,417,4
130,0,418,4
131,0,419,4
132,0,420,4
133,0,421,4
134,0,422,4
135,0,423,4
136,0,424,4
137,0,425,4
138,0,426,4
139,0,427,4
140,0,428,4
141,0,429,4
142,0,430,4
143,0,431,4
144,0,432,4
145,0,433,4
146,0,401,5
147,0,402,5
148,0,403,5
149,0,404,5
150,0,405,5
151,0,406,5
152,0,407,5
153,0,408,5
154,0,409,5
155,0,410,5
156,0,411,5
157,0,412,5
158,0,413,5
159,0,414,5
160,0,415,5
161,0,416,5
162,0,417,5
163,0,418,5
164,0,419,5
165,0,420,5
166,0,421,5
167,0,422,5
168,0,423,5
169,0,424,5
170,0,425,5
171,0,426,5
172,0,427,5
173,0,428,5
174,0,429,5
175,0,430,5
176,0,431,5
177,0,432,5
178,0,433,5
179,0,401,6
180,0,402,6
181,0,403,6
182,0,404,6
183,0,405,6
184,0,406,6
185,0,407,6
186,0,408,6
187,0,409,6
188,0,410,6
189,0,411,6
190,0,412,6
191,0,413,6
192,0,414,6
193,0,415,6
194,0,416,6
195,0,417,6
196,0,418,6
197,0,419,6
198,0,420,6
199,0,421,6
200,0,422,6
201,0,423,6
202,0,424,6
203,0,425,6
204,0,426,6
205,0,427,6
206,0,428,6
207,0,429,6
208,0,430,6
209,0,431,6
210,0,432,6
211,0,433,6
212,0,401,7
213,0,402,7
214,0,403,7
215,0,404,7
216,0,405,7
217,0,406,7
218,0,407,7
219,0,408,7
220,0,409,7
221,0,410,7
222,0,411,7
223,0,412,7
224,0,413,7
225,0,414,7
226,0,415,7
227,0,416,7
228,0,417,7
229,0,418,7
230,0,419,7
231,0,420,7
232,0,421,7
233,0,422,7
234,0,423,7
235,0,424,7
236,0,425,7
237,0,426,7
238,0,427,7
239,0,428,7
240,0,429,7
241,0,430,7
242,0,431,7
243,0,432,7
244,0,433,7
245,0,401,8
246,0,402,8
247,0,403,8
248,0,404,8
249,0,405,8
250,0,406,8
251,0,407,8
252,0,408,8
253,0,409,8
254,0,410,8
255,0,411,8
256,0,412,8
257,0,413,8
258,0,414,8
259,0,415,8
260,0,416,8
261,0,417,8
262,0,418,8
263,0,419,8
264,0,420,8
265,0,421,8
266,0,422,8
267,0,423,8
268,0,424,8
269,0,425,8
270,0,426,8
271,0,427,8
272,0,428,8
273,0,429,8
274,0,430,8
275,0,431,8
276,0,432,8
277,0,433,8
278,0,401,9
279,0,402,9
280,0,403,9
281,0,404,9
282,0,405,9
283,0,406,9
284,0,407,9
285,0,408,9
286,0,409,9
287,0,410,9
288,0,411,9
289,0,412,9
290,0,413,9
291,0,414,9
292,0,415,9
293,0,416,9
294,0,417,9
295,0,418,9
296,0,419,9
297,0,420,9
298,0,421,9
299,0,422,9
300,0,423,9
301,0,424,9
302,0,425,9
303,0,426,9
304,0,427,9
305,0,428,9
306,0,429,9
307,0,430,9
308,0,431,9
309,0,432,9
310,0,433,9
311,0,401,10
312,0,402,10
313,0,403,10
314,0,404,10
315,0,405,10
316,0,406,10
317,0,407,10
